iter	Passed	Remaining
0	0	84
1	1	76
2	2	71
3	2	65
4	3	65
5	4	64
6	4	64
7	5	63
8	6	63
9	6	62
10	7	61
11	8	60
12	8	59
13	9	59
14	10	58
15	10	57
16	11	56
17	12	55
18	12	55
19	13	54
20	14	53
21	15	53
22	15	53
23	16	52
24	17	51
25	18	51
26	18	50
27	19	50
28	20	49
29	20	48
30	21	48
31	22	47
32	23	46
33	23	46
34	24	45
35	25	44
36	25	44
37	26	43
38	27	42
39	27	41
40	28	41
41	28	39
42	29	39
43	30	38
44	30	37
45	31	37
46	32	36
47	32	35
48	33	35
49	34	34
50	34	33
51	35	32
52	36	32
53	36	31
54	37	30
55	38	29
56	38	29
57	39	28
58	40	27
59	40	27
60	41	26
61	42	25
62	42	25
63	43	24
64	44	23
65	44	23
66	45	22
67	46	21
68	46	21
69	47	20
70	48	19
71	48	18
72	49	18
73	50	17
74	50	16
75	51	16
76	52	15
77	52	14
78	53	14
79	54	13
80	54	12
81	55	12
82	56	11
83	56	10
84	57	10
85	58	9
86	58	8
87	59	8
88	60	7
89	60	6
90	61	6
91	62	5
92	62	4
93	63	4
94	64	3
95	64	2
96	65	2
97	65	1
98	66	0
99	67	0
